2025-12-27 16:56:39 | DELETE_EQUIPAMENTO | {"id":9}
2025-12-28 16:24:02 | INSERT_EQUIPAMENTO | {"id":10,"numeroSerie":"123467","equipamento":"Luvas","estado":"Operacional","tipoEquipamento_id":"4
2025-12-28 17:06:24 | DELETE_EQUIPAMENTO | {"id":10}
2025-12-28 17:06:54 | DELETE_EQUIPAMENTO | {"id":8}
2025-12-28 17:11:40 | DELETE_EQUIPAMENTO | {"id":7}
2025-12-28 17:18:57 | DELETE_EQUIPAMENTO | ID: 6 | {"id":6}
2025-12-28 17:39:53 | INSERT_EQUIPAMENTO | ID: 11 | {"id":11,"numeroSerie":"123467","equipamento":"Luvas","estado":"Operacional","tipoEquipamento_id":"4
2025-12-28 17:40:33 | DELETE_EQUIPAMENTO | ID: 11 | {"id":11}
2025-12-28 17:45:39 | DELETE_EQUIPAMENTO | ID: 5 | {"id":5}
2025-12-28 18:12:51 | DELETE_EQUIPAMENTO | ID: 4 | {"id":4}
2025-12-28 18:48:09 | INSERT_EQUIPAMENTO | ID: 12 | {"id":12,"numeroSerie":"123467","equipamento":"Luvas","estado":"Operacional","tipoEquipamento_id":"4
2025-12-28 18:49:29 | DELETE_EQUIPAMENTO | ID: 12 | {"id":12}
2025-12-29 14:58:54 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Em Manuten\u00e7\u00e3o","tipoEquip
2025-12-29 14:59:15 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Operacional","tipoEquipamento_id":2
2025-12-30 18:12:14 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Em Manuten\u00e7\u00e3o","tipoEquip
2025-12-30 18:31:43 | INSERT_EQUIPAMENTO | ID: 13 | {"id":13,"numeroSerie":"123467","equipamento":"Luvas","estado":"Operacional","tipoEquipamento_id":"4
2025-12-30 18:31:53 | DELETE_EQUIPAMENTO | ID: 13 | {"id":13}
2025-12-30 18:33:18 | UPDATE_EQUIPAMENTO | ID: 2 | {"id":2,"numeroSerie":"123457","equipamento":"Ecra","estado":"Em Manuten\u00e7\u00e3o","tipoEquipame
2025-12-30 18:33:26 | UPDATE_EQUIPAMENTO | ID: 2 | {"id":2,"numeroSerie":"123457","equipamento":"Ecra","estado":"Operacional","tipoEquipamento_id":2}
2025-12-30 18:33:29 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Operacional","tipoEquipamento_id":2
2025-12-30 18:34:05 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Em Manuten\u00e7\u00e3o","tipoEquip
2025-12-30 18:34:09 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Operacional","tipoEquipamento_id":2
2025-12-30 18:52:13 | INSERT_EQUIPAMENTO | ID: 14 | {"id":14,"numeroSerie":"123467","equipamento":"Luvas","estado":"Operacional","tipoEquipamento_id":"4
2025-12-30 18:52:28 | DELETE_EQUIPAMENTO | ID: 14 | {"id":14}
2025-12-30 18:53:38 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Em Manuten\u00e7\u00e3o","tipoEquip
2025-12-30 18:53:46 | UPDATE_EQUIPAMENTO | ID: 1 | {"id":1,"numeroSerie":"123456","equipamento":"Monitor","estado":"Operacional","tipoEquipamento_id":2
2025-12-30 19:02:21 | UPDATE_EQUIPAMENTO | ID: 2 | {"id":2,"numeroSerie":"123457","equipamento":"Ecra","estado":"Em Manuten\u00e7\u00e3o","tipoEquipame
